"relative_path"	"absolute_path"	"size_bytes"	"sha256"	"delivery"	"notes"
"02_first_round_rpca_broad_mt_qc.graph_order_failure_attempt8.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.graph_order_failure_attempt8.stderr.log"	"54517"	"da8fc2bf9299002d6886749e7eb6194a1e591625fd38e80f7f098241ef5a50a2"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.graph_order_failure_attempt8.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.graph_order_failure_attempt8.stdout.log"	"2882"	"b541e41071b8f5fec6672c8b70002c7f3b4a42a14f5f4319c42ed0a59d6896fa"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.idempotency_failure_attempt10.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.idempotency_failure_attempt10.stderr.log"	"2733"	"5f4f818b647d0a527c93b039fa6ff6f65bccb0a1e4f32915d3ec80341ef87d9b"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.idempotency_failure_attempt10.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.idempotency_failure_attempt10.stdout.log"	"290"	"d83b8bc7976c94243deee64adc1dd7cf848c9c1491981993141f172d94752580"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.paused_attempt3.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.paused_attempt3.stderr.log"	"399"	"dd4aca2c050c22026db4472fb743e6e56810f7946701299839701b9bf54a49a5"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.paused_attempt3.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.paused_attempt3.stdout.log"	"2435"	"cd3f10cdb3a8834daf940b97eabcaafbc059ebd948697be8bdf766c93b94239f"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.paused_attempt6_1000_correction.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.paused_attempt6_1000_correction.stderr.log"	"15999"	"91c75b71d5bb6e6ecce6b1448e6bbcdeac210add6a235e3faa3e61f3797fc0ef"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.paused_attempt6_1000_correction.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.paused_attempt6_1000_correction.stdout.log"	"2547"	"664f6e1e20824ba324b682132c56e721ae65a673d2904f1a1a98dd15c612440a"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.shutdown_attempt7_1000_correction.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.shutdown_attempt7_1000_correction.stderr.log"	"12756"	"cfab452ecec639cc20624b530c0efa0f4d24e5489b43b740cb7fbdceb1461d29"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.shutdown_attempt7_1000_correction.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.shutdown_attempt7_1000_correction.stdout.log"	"2547"	"dd807cf15ed556388cc032629840237abd7033ad45c108197b7dfab91dc366b9"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.stderr.log"	"618"	"ca2af1d9c6ff064317c317a0a1c51b0cd2cc96f5fb8d1e3edddef5046f6b1030"	"github_upload"	"analysis execution log"
"02_first_round_rpca_broad_mt_qc.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\02_first_round_rpca_broad_mt_qc.stdout.log"	"393"	"6cc8390901f49e191c48c8a9a439cb4e33f7068a4d291467f4d51e9edef52c63"	"github_upload"	"analysis execution log"
"03_rebuild_final_rpca_atlas.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\03_rebuild_final_rpca_atlas.stderr.log"	"179748"	"b5ea07c04a63b0b9dc22182ea947493bb921bdf817e33aeb588c4b9888538f11"	"github_upload"	"analysis execution log"
"03_rebuild_final_rpca_atlas.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\03_rebuild_final_rpca_atlas.stdout.log"	"3165"	"c5123b44a990f0dc18b66ca51ad7b4e2aa513e705ace262cca2c2b81de684987"	"github_upload"	"analysis execution log"
"04_recluster_compartments.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\04_recluster_compartments.stderr.log"	"209558"	"ab14f4c19245681dcccbbc10264a7daf8b0f979a1c5ee5f9835040cc371d3d15"	"github_upload"	"analysis execution log"
"04_recluster_compartments.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\04_recluster_compartments.stdout.log"	"8441"	"6d379d00ba195f3297788709cefcf31d8aba8e4791f85107fe8a2ff4cd02854a"	"github_upload"	"analysis execution log"
"05_render_paper_qc_figures.audit_column_failure_attempt1.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\05_render_paper_qc_figures.audit_column_failure_attempt1.stderr.log"	"696"	"589f3fd53904e65138e99ef89ad9dd8bec6265d404788124f7897ef37305dfb7"	"github_upload"	"analysis execution log"
"05_render_paper_qc_figures.audit_column_failure_attempt1.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\05_render_paper_qc_figures.audit_column_failure_attempt1.stdout.log"	"124"	"a7e1e13b164f635bbae4cac652cd0e57fe8e032ee96704b9cf684d8540bb9daf"	"github_upload"	"analysis execution log"
"05_render_paper_qc_figures.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\05_render_paper_qc_figures.stderr.log"	"2278"	"40d7096db0ce7626c34ff169c53f4921d458cdbbd21c7b450099ee24364529b2"	"github_upload"	"analysis execution log"
"05_render_paper_qc_figures.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\05_render_paper_qc_figures.stdout.log"	"904"	"78355030c5770a7dfbec32cc294e677d0840a302e93d9b55e27c8bd07029d542"	"github_upload"	"analysis execution log"
"06_finalize_handoff.stderr.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\06_finalize_handoff.stderr.log"	"820"	"005fd1d2ffe3ab4a3706d0aedbdac8e64751f4042f9a3a3af21d0c6802a592cb"	"github_upload"	"analysis execution log"
"06_finalize_handoff.stdout.log"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\06_finalize_handoff.stdout.log"	"138"	"2d757ba059cca85ac2e32777f115dcfa559efe417edd6e2916c775263d0a1f89"	"github_upload"	"analysis execution log"
"figures/gse205506_paper_qc_before_after.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_before_after.pdf"	"64286"	"849e790cb248653110c8859eac0f4ba33f7cea83fbcea2c5b6cf269484fbe922"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_before_after.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_before_after.png"	"239939"	"7eedcd6d5f24cac6213870d9d6be5f8b65a728affbe3ac3e60effd85691f62a8"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_marker_dotplot_B.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_B.pdf"	"51366"	"2cc62b303031f7af56a08ffb85db18255098305f0a50b1395c9d885af7bd64ee"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_marker_dotplot_B.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_B.png"	"297679"	"3ac53d8f918a9a9bea41037babdeca308caaf89a682d23c34792686be727f226"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_marker_dotplot_broad.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_broad.pdf"	"47265"	"33a332acbedec34e904d9f7376fc9428da481515713faf0062e5e029a540ad44"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_marker_dotplot_broad.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_broad.png"	"201579"	"60b7a27e6b120c548ef2caa877179827aa2dff6379de24c5288dd8a5bb6134df"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_marker_dotplot_Endothelial.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_Endothelial.pdf"	"59919"	"0f2d8c3fb7aecec269e501eb06d9fb95ea49e6ce624a3f272ea61f002b067a1e"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_marker_dotplot_Endothelial.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_Endothelial.png"	"469501"	"ce317628ab679f45faac1136404c305b54858722c1ef0190701211ce21917735"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_marker_dotplot_Fibroblast.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_Fibroblast.pdf"	"63811"	"2dc140b11b2e0f19dc76269989e7c114d720c143757f885d95d4d77ee25197f4"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_marker_dotplot_Fibroblast.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_Fibroblast.png"	"473902"	"d945524d71184e4f24f30bcdd4373e11d41cf03b3cd3c11a3e2e0c1db1681297"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_marker_dotplot_Myeloid.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_Myeloid.pdf"	"59383"	"05135766da70dc7c0cc8aad8c470bd1cf69d5ef91d4ce79eeab7011e90f74e23"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_marker_dotplot_Myeloid.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_Myeloid.png"	"391643"	"75a1ed1ff91a99954a67b301c7bbce33e7ff918fc8af1fb0367c2e1e82c168cd"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_marker_dotplot_T_I_NK.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_T_I_NK.pdf"	"55439"	"8810303b32a9a8974340b2ddf477dd16c60f0db536747935a51edd4da44b2033"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_marker_dotplot_T_I_NK.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_marker_dotplot_T_I_NK.png"	"325720"	"698b80cb790566732ca659b354d4a30da8b4c844e198023ac0ab49d0bdac41d7"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_B.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_B.pdf"	"76240"	"17aa2f4ad7a3be9af9675dca272d3805b570365d2d922a64f81dd786951eb60a"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_B.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_B.png"	"214016"	"1407dc23596977be18c83fc06d1bc9994199a926bec46f2244091c3cc467fedc"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_broad.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_broad.pdf"	"48846"	"8ac3bae968187509324a9f1285e0cbd15f9094e50bea95bb4e1ac2f2a3b06f06"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_broad.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_broad.png"	"141245"	"cd1e15dc3d2e147ca220c7e1977da1babd607ea33cf67066111b905fa4f635a7"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_Endothelial.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_Endothelial.pdf"	"66457"	"4b87040f5402112d6daf6aaf61dea9b1e551b344a8e869fc875df2c4ce4ae9b8"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_Endothelial.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_Endothelial.png"	"216920"	"495c1bf50a3ec3f272d7a6f135558f94d7da4bcf2cb1dff7c18ae3fa8ca21f7f"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_Fibroblast.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_Fibroblast.pdf"	"52427"	"ecc20f7360022c4907b5bd8fb53314f316a82afee41f1c081ba8e1ada224ca20"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_Fibroblast.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_Fibroblast.png"	"180815"	"e33d6011b7f7c357bcac66d6c289747f521c233c996743f6c6f8c91c04ec8820"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_Myeloid.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_Myeloid.pdf"	"57029"	"aac89d9c1a07ee126c407619e634bfe18120e491887983f2fa35530a163f7ae5"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_Myeloid.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_Myeloid.png"	"204618"	"438d8c4f05a6fbf03a6b8202d9c238aa0326da582c9a2603ba830446cc1f1545"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_response.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_response.pdf"	"53626"	"c6b3b2fc09522cbda556ee4d04c3b1cbaa3a9e87a0a7c9c64a8411a59908f84e"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_response.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_response.png"	"146144"	"4199dfe0a5aebe46657215948938d3f58b22ff3a5faa34b6549cb45f3b2018e0"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_sample.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_sample.pdf"	"84076"	"578f74e59612603061ed2e3fa992a423c7e8f5206d4455f04bfe1e19c2833d87"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_sample.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_sample.png"	"277240"	"15ef8de312f6096ee17f38debf697a615a05919aaa25b01551b381a341e5d916"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_T_I_NK.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_T_I_NK.pdf"	"76048"	"34d53a0a5771a94ef09297c5395c7ca98729b052f69764d2547b762f2d3e20b3"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_T_I_NK.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_T_I_NK.png"	"251499"	"4705e0f1fe5990b03609d55db63ce7dd9f0a9a9026db5921c340ff29d247dfd5"	"github_upload"	"visually inspected 300-dpi raster figure"
"figures/gse205506_paper_qc_umap_timepoint.pdf"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_timepoint.pdf"	"57820"	"9b5f7db8c9797b3e13438f052ba0f3fdd9e9ea8891576022231dedfdc4e08adf"	"github_upload"	"vector-container PDF with rasterized UMAP points where applicable"
"figures/gse205506_paper_qc_umap_timepoint.png"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\figures\gse205506_paper_qc_umap_timepoint.png"	"147145"	"d353951886c03048a49bbf4ecf251d2fc98786753df87854d616adefc2e2c09e"	"github_upload"	"visually inspected 300-dpi raster figure"
"gse205506_paper_qc_B_annotation_evidence.tsv"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\gse205506_paper_qc_B_annotation_evidence.tsv"	"9508"	"4a993ff17e221512b50300c8a190628a010a0c5efbbd03b2096305bb6389f58d"	"github_upload"	"lightweight reproducibility output"
"gse205506_paper_qc_B_author_overlap.tsv"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\gse205506_paper_qc_B_author_overlap.tsv"	"5459"	"6730dcf7e8a079024631425a6aba95f9761741172be0a0cfb2a6cc06c9b7628a"	"github_upload"	"lightweight reproducibility output"
"gse205506_paper_qc_B_top10_markers.tsv"	"I:\shengxinfenxi\bioinformatics-reproduction\projects\pan-gi-ici-ccc-20260709\desktop_exchange\uploads\20260717_gse205506_paper_qc_rebuild\gse205506_paper_qc_B_top10_markers.tsv"	"16805"	"4471d7b0c98a84db496b5c769b27eaceced1633bd11f2e4b0c55a68d7463edd6"	"github_upload"	"lightweight reproducibility output"
