cluster	cells	samples	subjects	assigned_broad_compartment	second_broad_compartment	signature_score_margin	assigned_marker_coexpression_fraction_ge_2	second_marker_coexpression_fraction_ge_2	maximum_sample	maximum_sample_fraction	maximum_subject	maximum_subject_fraction	marker_conflict_review	abundance_rank_smallest_first	abundance_review	action	top10_markers	positive_marker_evidence	negative_or_conflicting_marker_evidence
10	6994	40	19	Epithelial	Fibroblast	0.635880240176424	0.553331426937375	0.0020017157563626	GSM6213989	0.120388904775522	P31	0.161424077780955	FALSE	24	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	MT-CO2;MT-ND4;MT-CO3;MT-CYB;MT-ATP6;MKI67;MT-CO1;MT-ND1;CENPF;MT-ND5	EPCAM	
11	6987	40	19	T/I/NK	Fibroblast	2.02289205350233	0.76041219407471	0.0078717618434235	GSM6213994	0.20538142264205	P15	0.285244024617146	FALSE	23	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	B2M;TRAC;RPS15A;RPS27A;RPL30;RPL32;RPS27;RPLP1;PTPRC;RPL28	TRAC;CD3D	
12	6499	40	19	T/I/NK	B	2.97859245864206	0.955223880597015	0.036621018618249	GSM6213994	0.0933989844591476	P32	0.166179412217264	FALSE	22	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	TRAC;CD3D;B2M;IL32;CD2;SRGN;PTPRC;BTG1;S100A4;TRBC2	TRAC;CD3D;CD3E	
13	6445	40	19	Myeloid	Endothelial	4.36683061037588	0.602172226532196	0.00899922420480993	GSM6213961	0.420325833979829	P15	0.436927851047324	FALSE	21	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	HLA-DRA;CD74;HLA-DPA1;FTL;HLA-DPB1;HLA-DRB1;LYZ;HLA-DQA1;TYROBP;HLA-DQB1	CD14;CD68	
14	5897	40	19	Epithelial	Myeloid	2.17938451625067	0.885874173308462	0.0144141088689164	GSM6213962	0.0941156520264541	P15	0.123622180769883	FALSE	20	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	PHGR1;FABP1;LGALS4;CA2;FXYD3;CD24;SELENBP1;C15orf48;LGALS3;PIGR	CD24;EPCAM	
15	5774	39	19	Epithelial	Fibroblast	1.08807248494817	0.569276065119501	0.00346380325597506	GSM6213982	0.161413231728438	P28	0.191028749567025	FALSE	19	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	CA7;BEST4;CA4;SPIB;OTOP2;KRT20;LYPD8;MT1G;CEACAM5;KRT8	EPCAM	
16	5738	40	19	Epithelial	Myeloid	1.52094485495567	0.730742418961311	0.00941094457999303	GSM6213962	0.070233530846985	P27	0.119553851516208	FALSE	18	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	SLC26A3;CEACAM7;PLAC8;FABP1;TSPAN1;KRT20;CEACAM1;CEACAM5;CDHR5;GUCA2A	EPCAM	
17	5697	39	18	B	Fibroblast	2.62779964926897	0.847639108302615	0.00754783219238196	GSM6213958	0.152185360716166	P25	0.216078637879586	FALSE	17	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	JCHAIN;MZB1;SSR4;HERPUD1;XBP1;DERL3;IGKC;BTG2;IGHA1;SEC11C	MZB1;TNFRSF17;CD79A	
18	5678	40	19	T/I/NK	Myeloid	1.86049408372695	0.706410707995773	0.00739697076435365	GSM6213961	0.29623106727721	P15	0.330398027474463	FALSE	16	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	CCL5;B2M;IL32;TMSB4X;PTPRC;GZMA;CD3D;EVL;NKG7;HCST	CD3D;TRAC;CD3E	
19	5000	40	19	Fibroblast	Myeloid	2.903649612382	0.8846	0.0264	GSM6213961	0.1658	P15	0.2276	FALSE	15	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	COL1A2;COL6A2;COL1A1;C1S;COL3A1;DCN;LUM;C1R;COL6A1;MMP2	COL1A2;COL3A1	
20	4504	40	19	Epithelial	Fibroblast	0.97443459142705	0.62544404973357	0.00288632326820604	GSM6213995	0.153197158081705	P33	0.153197158081705	FALSE	14	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	TFF3;MUC2;FCGBP;SPINK4;ST6GALNAC1;AGR2;REG4;SLC12A2;ITLN1;KRT18	EPCAM	
21	4329	37	19	Epithelial	Fibroblast	0.183462091215736	0.641718641718642	0.00485100485100485	GSM6213973	0.0914760914760915	P27	0.127974127974128	TRUE	13	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	MT-ND4;MT-ATP6;MT-CO2;MT-CO3;MT-CYB;MT-ND1;MT-CO1;MT-ND3;MT-ND2;MT-ND5		
22	4152	40	19	Endothelial	Fibroblast	3.24028441590448	0.735549132947977	0.0122832369942197	GSM6213994	0.142100192678227	P32	0.157273603082852	FALSE	12	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	A2M;HSPG2;SPARCL1;PECAM1;VIM;TCF4;CRIP2;EGFL7;GNG11;IFITM3	PECAM1;VWF	
23	3783	39	19	Fibroblast	B	3.87511116367206	0.9746233148295	0.021411578112609	GSM6213967	0.276235791699709	P19	0.312714776632302	FALSE	11	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	ACTA2;MYL9;CALD1;TPM2;TAGLN;C11orf96;IGFBP7;MCAM;DSTN;MYH11	ACTA2;MYH11	
24	3378	39	19	Myeloid	Endothelial	3.56791190684574	0.536708111308467	0.00828892835997632	GSM6213994	0.125222024866785	P25	0.165186500888099	FALSE	10	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	SRGN;FCER1G;TYROBP;SAT1;FTL;LYZ;FTH1;S100A9;AIF1;CTSS	CD14	
25	3211	39	18	B	Fibroblast	2.99398456665535	0.920896916848334	0.00685144814699471	GSM6213962	0.40921831205232	P15	0.415758330738088	FALSE	9	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	BASP1;HMGN1;MS4A1;ACTG1;CD79A;CORO1A;TCL1A;H3F3A;ACTB;CD79B	MS4A1;CD79A;CD79B	
26	2653	40	19	Epithelial	Myeloid	1.11160771396248	0.660384470410856	0.00414624952883528	GSM6213970	0.0844327176781003	P21	0.0897097625329815	FALSE	8	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	ELF3;JUN;CLDN4;FOSB;CLDN3;LGALS4;HSPA1B;IER2;FOS;SOX4		
27	2076	38	18	Endothelial	Fibroblast	2.31823229031578	0.471098265895954	0.00867052023121387	GSM6213967	0.491329479768786	P19	0.501445086705202	FALSE	7	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	SPARCL1;ACKR1;VIM;IGFBP7;PECAM1;TCF4;EGFL7;CLU;VWF;A2M	PECAM1;VWF	
28	2072	38	18	Epithelial	Myeloid	0.84993451992921	0.575289575289575	0.00772200772200772	GSM6213982	0.168436293436293	P28	0.229247104247104	FALSE	6	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	SH2D6;LRMP;TRPM5;AVIL;PLCG2;AZGP1;FYB1;RASSF6;TPM1;PTPN18		
29	1448	40	19	T/I/NK	Fibroblast	2.30565067744184	0.866022099447514	0.00828729281767956	GSM6213971	0.216160220994475	P23	0.216160220994475	FALSE	5	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	STMN1;HMGB2;HMGB1;ACTB;HMGN2;H2AFZ;TUBA1B;CD3D;PTMA;TUBB	CD3D;TRAC	
30	831	32	16	Endothelial	Fibroblast	1.36922000952066	0.23826714801444	0.00962695547533093	GSM6213987	0.169675090252708	P30	0.197352587244284	FALSE	4	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	TFPI;CCL21;MMRN1;GNG11;CAVIN2;VIM;AKAP12;CLDN5;TIMP3;IGFBP7		
31	746	36	17	Epithelial	Fibroblast	0.85921149862847	0.599195710455764	0.00402144772117962	GSM6213982	0.0924932975871314	P28	0.17828418230563	FALSE	3	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	CACNA1A;MS4A8;SCGN;PCSK1N;CHGA;SCG5;CPE;INSM1;NEUROD1;NKX2-2		
32	485	33	18	T/I/NK	B	0.0860874030569083	0.779381443298969	0.810309278350515	GSM6213994	0.249484536082474	P32	0.296907216494845	TRUE	2	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	CD37;HLA-DRA;CD52;MS4A1;CD74;LTB;RPS27A;RPS27;RPL18A;RPL30		MS4A1;CD79A
33	149	24	16	Myeloid	Fibroblast	0.110217175539597	0	0	GSM6213980	0.154362416107383	P32	0.221476510067114	TRUE	1	paper provides no numerical low-abundance exclusion threshold; rank exported for Mac review only	retain cluster; no whole-cluster deletion in this request	TPSB2;CPA3;TPSAB1;MS4A2;LTC4S;SLC18A2;SAMSN1;VWA5A;GATA2;SRGN		
