characteristics_ch1::outcome	binary_response_group	timepoint	timepoint_simple	refined_celltype_label	cell_count	proportion_within_outcome_timepoint	table_scope	metadata_note
NE	not_in_binary_response	post-treatment1	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment1	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	post-treatment2	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	B_naive_memory	506	0.08270676691729323	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	CD4_T_naive_memory	437	0.07142857142857142	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	CD8_T_cytotoxic	432	0.07061131088591042	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Macrophage_C1QC_APOE	441	0.07208237986270023	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Mast	90	0.014710689767898006	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Monocyte_classical	2250	0.36776724419745016	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Plasma	735	0.12013729977116705	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	not_in_binary_response	pre-treatment	pre-treatment	Unresolved_low_signal	1227	0.20055573716900948	qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment1	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	post-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	Monocyte_classical	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	Plasma	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	post-treatment2	pre-treatment	Unresolved_low_signal	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	pre-treatment	post-treatment	B_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	pre-treatment	post-treatment	CD4_T_naive_memory	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	pre-treatment	post-treatment	CD8_T_cytotoxic	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	pre-treatment	post-treatment	Macrophage_C1QC_APOE	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
NE	responder	pre-treatment	post-treatment	Mast	0		qc_pass_cells_only	NE remains not_in_binary_response in binary_response_group; raw outcome is preserved.
