resource_id	resource_type	url	output_path	priority	notes
GSE231559	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231559/soft/GSE231559_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE231559_family.soft.gz	3	CRC TAM reference panel metadata.
GSE132257	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132257/soft/GSE132257_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE132257_family.soft.gz	3	CRC TAM reference panel metadata.
GSE132465	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132465/soft/GSE132465_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE132465_family.soft.gz	3	CRC TAM reference panel metadata.
GSE144735	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144735/soft/GSE144735_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE144735_family.soft.gz	3	CRC TAM reference panel metadata.
GSE221575	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221575/soft/GSE221575_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE221575_family.soft.gz	3	CRC TAM reference panel metadata.
GSE245552	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245552/soft/GSE245552_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE245552_family.soft.gz	3	CRC TAM reference panel metadata.
GSE225857	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE225nnn/GSE225857/soft/GSE225857_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE225857_family.soft.gz	3	CRC SPP1+ TAM reference metadata.
GSE164522	geo_soft	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164522/soft/GSE164522_family.soft.gz	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/GSE164522_family.soft.gz	3	CRC SPP1+ TAM reference metadata.
PRJNA932556	sra_runinfo	https://trace.ncbi.nlm.nih.gov/Traces/sra-db-be/runinfo?acc=PRJNA932556	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/PRJNA932556_sra_runinfo.csv	1	CRC MSI-H/dMMR anti-PD-1 sensitive/resistant SRA run table.
PRJEB97203	ena_runinfo	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB97203&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,instrument_platform,instrument_model,library_layout,library_strategy,library_source,library_selection,fastq_ftp,submitted_ftp,sra_ftp,read_count,base_count&format=tsv&download=true	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/PRJEB97203_ena_runinfo.tsv	2	CCA snRNA-seq ENA run table.
OMIX001073	omix_page	https://ngdc.cncb.ac.cn/omix/release/OMIX001073	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/OMIX001073_page.html	1	GC single-cell cohort page; save page and any downloadable sample metadata table if available.
STAD-PRJEB25780	cide_metadata	manual	/Volumes/research/pan_gi_ici_ccc_20260709/00_metadata/source_metadata/STAD_PRJEB25780_CIDE_metadata.tsv	1	Use CIDE database UI or API to export sample-level response metadata for STAD-PRJEB25780.
