relative_path	file_type	dataset	description	bytes	sha256	created_by	source_command	notes
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part003	binary_chunk	GSE169246_TNBC	Portable RDS chunk 3 of 13	20971520	3ca9cd3991aded0fbab0b3d13ba8fdb4bd09081d868880facb69ef4eeaed732c	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part004	binary_chunk	GSE169246_TNBC	Portable RDS chunk 4 of 13	20971520	4d010f11c9af5ff20132fcca822f44b941917a05d83471f4b0555ea9ff16a204	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part005	binary_chunk	GSE169246_TNBC	Portable RDS chunk 5 of 13	20971520	cf50ad0d0eabcdcb4fc1ded55902b655143d8109298cb5b01a78a676857c2f86	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part006	binary_chunk	GSE169246_TNBC	Portable RDS chunk 6 of 13	20971520	69a0e5e6f5d7718375cb93e2a721ac1048f7561c1e9594cb93aca5ab0dc104db	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part007	binary_chunk	GSE169246_TNBC	Portable RDS chunk 7 of 13	20971520	df9b891f8a1b6d6b088690d5f5120fde12d87c9cb64fe88349db013ed52cee19	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part008	binary_chunk	GSE169246_TNBC	Portable RDS chunk 8 of 13	20971520	b5ab8d77ff7c50a97f504795d41fe6c134780bdc4f06d8fdfb4e890be592f173	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part009	binary_chunk	GSE169246_TNBC	Portable RDS chunk 9 of 13	20971520	7b125cdd61a6b408131de26d5e0e436f83aef142cc44f10d7b742a9321087097	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part010	binary_chunk	GSE169246_TNBC	Portable RDS chunk 10 of 13	20971520	8a22fcef918bf52f72d2b7d5771553451e51e9209bffbe20f4ea5d4c727c07d0	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part011	binary_chunk	GSE169246_TNBC	Portable RDS chunk 11 of 13	20971520	6b192221c1dc00b1b64ef74ae453f9fb51cdf70a20b18b958e7d991bc711e585	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
files/set2_TNBC_standard_myeloid_pre_supp_fig_s1_portable.rds.part012	binary_chunk	GSE169246_TNBC	Portable RDS chunk 12 of 13	5314664	e1a4719e4a46296a3ba89e90224c292d305e1871f8ee482b78763f336051d3b2	Codex desktop worker	python split_file_for_github.py --chunk-size-mb 20	uploaded to GitHub handoff folder
