raw_outcome	binary_response_group	timepoint	timepoint_simple	broad_label	refined_label	cell_count	proportion_within_outcome_timepoint	table_scope	metadata_note
PD	non_responder	post-treatment	post-treatment	Inflammatory_myeloid	Monocyte_classical	23	0.0140243902439024	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Macrophages	Macrophage_C1QC_APOE	23	0.0140243902439024	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Mast_cells	Mast	120	0.0731707317073171	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Monocytes	Monocyte_classical	14	0.00853658536585366	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Plasma_cells	Plasma	308	0.18780487804878	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Stromal_perivascular_like	Unresolved_low_signal	215	0.13109756097561	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	T_cells	CD4_T_naive_memory	203	0.123780487804878	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	post-treatment	post-treatment	Unresolved	Unresolved_low_signal	21	0.0128048780487805	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	CD8_T_NK	CD8_T_cytotoxic	702	0.0931405068329574	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Dendritic_cells	DC_LAMP3	127	0.0168502056521162	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Endothelial_like	Unresolved_low_signal	563	0.0746981557648932	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Epithelial_like	Unresolved_low_signal	224	0.0297200477643625	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Granulocyte_like	Unresolved_low_signal	1580	0.209632479766485	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Inflammatory_myeloid	Monocyte_classical	688	0.0912830038476848	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Macrophages	Macrophage_C1QC_APOE	342	0.0453761443545177	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Mast_cells	Mast	380	0.0504179381716864	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Monocytes	Monocyte_classical	683	0.0906196099243731	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Plasma_cells	Plasma	556	0.0737694042722569	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Stromal_perivascular_like	Unresolved_low_signal	240	0.0318429083189598	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	T_cells	CD4_T_naive_memory	1230	0.163194905134669	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PD	non_responder	pre-treatment	pre-treatment	Unresolved	Unresolved_low_signal	222	0.0294546901950378	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	CD8_T_NK	CD8_T_cytotoxic	1260	0.157894736842105	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Dendritic_cells	DC_LAMP3	339	0.0424812030075188	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Endothelial_like	Unresolved_low_signal	38	0.00476190476190476	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Epithelial_like	Unresolved_low_signal	2736	0.342857142857143	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Granulocyte_like	Unresolved_low_signal	1303	0.16328320802005	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Inflammatory_myeloid	Monocyte_classical	438	0.0548872180451128	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Macrophages	Macrophage_C1QC_APOE	365	0.0457393483709273	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Mast_cells	Mast	139	0.0174185463659148	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Monocytes	Monocyte_classical	255	0.0319548872180451	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Plasma_cells	Plasma	27	0.00338345864661654	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Stromal_perivascular_like	Unresolved_low_signal	75	0.0093984962406015	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	T_cells	CD4_T_naive_memory	928	0.116290726817043	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	post-treatment	post-treatment	Unresolved	Unresolved_low_signal	77	0.00964912280701754	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	CD8_T_NK	CD8_T_cytotoxic	595	0.0549196972494	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Dendritic_cells	DC_LAMP3	133	0.0122761676204541	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Endothelial_like	Unresolved_low_signal	126	0.0116300535351671	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Epithelial_like	Unresolved_low_signal	167	0.0154144360347056	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Granulocyte_like	Unresolved_low_signal	2670	0.246446372530921	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Inflammatory_myeloid	Monocyte_classical	903	0.0833487170020307	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Macrophages	Macrophage_C1QC_APOE	345	0.0318441942034336	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Mast_cells	Mast	154	0.0142145098763153	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Monocytes	Monocyte_classical	511	0.0471663282259553	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Plasma_cells	Plasma	2930	0.270444895698726	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Stromal_perivascular_like	Unresolved_low_signal	191	0.0176296843271183	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	T_cells	CD4_T_naive_memory	1938	0.178881299612332	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
PR	responder	pre-treatment	pre-treatment	Unresolved	Unresolved_low_signal	171	0.015783644083441	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	CD8_T_NK	CD8_T_cytotoxic	2191	0.107687014646614	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Dendritic_cells	DC_LAMP3	397	0.0195124348766342	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Endothelial_like	Unresolved_low_signal	176	0.00865034896294112	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Epithelial_like	Unresolved_low_signal	883	0.0433991939447557	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Granulocyte_like	Unresolved_low_signal	4564	0.224319276516269	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Inflammatory_myeloid	Monocyte_classical	1526	0.0750024574855009	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Macrophages	Macrophage_C1QC_APOE	1410	0.0693010911235624	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Mast_cells	Mast	477	0.0234444116779711	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Monocytes	Monocyte_classical	1388	0.0682197975031947	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Plasma_cells	Plasma	2952	0.145089943969331	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Stromal_perivascular_like	Unresolved_low_signal	531	0.0260984960188735	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	T_cells	CD4_T_naive_memory	3523	0.173154428388873	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment	post-treatment	Unresolved	Unresolved_low_signal	328	0.0161211048854812	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	CD8_T_NK	CD8_T_cytotoxic	131	0.0341234696535556	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Dendritic_cells	DC_LAMP3	22	0.00573065902578797	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Endothelial_like	Unresolved_low_signal	234	0.0609533732742902	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Epithelial_like	Unresolved_low_signal	1766	0.46001562907007	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Granulocyte_like	Unresolved_low_signal	18	0.00468872102109924	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Inflammatory_myeloid	Monocyte_classical	8	0.00208387600937744	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Macrophages	Macrophage_C1QC_APOE	316	0.082313102370409	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Mast_cells	Mast	274	0.0713727533211774	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Monocytes	Monocyte_classical	53	0.0138056785621256	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Plasma_cells	Plasma	646	0.168272987757228	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Stromal_perivascular_like	Unresolved_low_signal	227	0.0591299817660849	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	T_cells	CD4_T_naive_memory	83	0.021620213597291	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment1	post-treatment	Unresolved	Unresolved_low_signal	61	0.015889554571503	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	CD8_T_NK	CD8_T_cytotoxic	153	0.0831973898858075	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Dendritic_cells	DC_LAMP3	14	0.00761283306144644	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Endothelial_like	Unresolved_low_signal	170	0.0924415443175639	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Epithelial_like	Unresolved_low_signal	191	0.103860793909734	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Granulocyte_like	Unresolved_low_signal	296	0.160957041870582	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Inflammatory_myeloid	Monocyte_classical	13	0.00706905927134312	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Macrophages	Macrophage_C1QC_APOE	84	0.0456769983686786	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Mast_cells	Mast	123	0.066884176182708	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Monocytes	Monocyte_classical	48	0.0261011419249592	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Plasma_cells	Plasma	77	0.0418705818379554	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Stromal_perivascular_like	Unresolved_low_signal	43	0.0233822729744426	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	T_cells	CD4_T_naive_memory	617	0.335508428493747	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	post-treatment2	post-treatment	Unresolved	Unresolved_low_signal	10	0.00543773790103317	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	CD8_T_NK	CD8_T_cytotoxic	2018	0.0931026528258362	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	Dendritic_cells	DC_LAMP3	454	0.0209457900807382	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	Endothelial_like	Unresolved_low_signal	375	0.0173010380622837	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	Epithelial_like	Unresolved_low_signal	1838	0.08479815455594	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	Granulocyte_like	Unresolved_low_signal	4627	0.213471741637832	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	Inflammatory_myeloid	Monocyte_classical	1774	0.0818454440599769	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	Macrophages	Macrophage_C1QC_APOE	1950	0.0899653979238754	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
SD	non_responder	pre-treatment	pre-treatment	Mast_cells	Mast	945	0.043598615916955	QC-pass cells only	PR -> responder; SD/PD -> non_responder; NE and all other raw labels -> not_in_binary_response. Raw outcome is preserved.
