Gene_Symbol,GC10_P,GC10_T,GC01_P,GC01_T,GC02_P,GC02_T,GC03_P,GC03_T,GC04_P,GC04_T,GC05_P,GC05_T,GC07_P1,GC07_P2,GC07_T,GC08_P,GC08_T1,GC08_T2,GC09_P,GC09_T
MT-ND1,282945.207162436,35031.9350303585,120048.447972944,34925.5912588924,81021.6938801017,50693.3193258441,423723.473191418,218790.299973847,237714.769519133,3527.9173525619,89824.2402319758,160176.71948849,200391.772071998,197670.131035042,103598.657774786,88569.0346669471,59482.659034239,32026.6199205191,61318.4191213657,68647.325908695
PGA3,1787936.36762541,0.0,156613.357796284,0.0,646.692018880823,0.0,5192315.46698083,2409832.96658025,2849090.80979919,2614663.36910527,257191.45872517,214539.192686778,4574853.30643001,4582341.18137091,1089.17268024616,11375.8239802214,62.4060733405489,0.0,140.126249525742,1.70223062688147
MT-ND3,199590.017016563,34469.1836022876,70081.0680415202,34110.0724248827,31881.5201934879,24938.821202318,241448.740229475,163577.389944066,131894.096221072,1220.69061237763,56215.4197927616,67866.5192986507,137213.071621618,179154.021559366,37465.5414661827,87833.51179216,75285.2829094293,48922.382973228,49439.2291232774,75007.7338186923
IGHA1,73175.5361013279,1247.99516243809,124978.694468085,35135.2104460404,199697.278292275,238348.87852569,3240.57790218551,4218.75400906361,85156.5655196376,73571.8498084906,133102.077713836,58675.0755242057,43632.1418806093,70559.9785684475,66755.0971584718,33116.2287943266,56645.0082091401,36195.3952932883,348278.871165405,23700.2303672111
LIPF,1031817.09179468,65.363919837004,69643.5462273926,0.0,5724.81380290654,332.811792730618,3130496.07600508,991041.684045875,567550.552053372,148485.644453025,316576.908956812,229462.47943305,3081599.44192183,3205840.33333272,751.726410076681,49783.8012034621,309.730209211601,0.0,35521.9715526039,41.1553305184182
B2M,38804.0950962776,63741.0383997466,56350.3811018147,54273.7855345093,45380.6042241044,53035.6694571408,22507.8344734695,28710.9365657896,25407.5578288754,18812.0628577283,76412.6955042223,58211.2582619033,43809.3764450307,53751.8066389576,64083.6284050779,65217.4006850218,35241.494060595,49060.7374089353,50299.4813541401,70777.7624956082
MT-ND5,187200.381420999,50615.9476719601,38438.0122167549,13244.7882992848,50215.3156124469,45084.1872409954,154402.61796166,79216.6187086942,189520.064480371,15483.42185729,95080.362992964,115287.871934871,100005.684323913,63121.4073647567,54888.7548482296,42399.9626073731,38237.3373038434,24424.6068679032,42721.292026128,43553.4077878578
IGKC,35209.4300239815,5050.11280940925,56797.3675358378,104793.295163638,85456.9165749911,161047.490371269,2042.71339902744,4792.11817660235,30914.7588030739,2908.25096348563,84921.3127151331,66071.1916919928,22402.0048139909,40454.2113305328,170269.772667293,10927.7879725985,30765.1661023176,80941.1222414494,120789.095077758,221586.249781911
RPL13A,37391.4350723461,15517.2548724684,30606.0162688103,25299.82482339,81035.5920716768,57059.870501764,46237.5197721718,38672.0954804143,47026.0922286179,47270.3355844884,50963.3534128518,46747.6987761383,39951.3512922432,55491.9987164241,21136.0995357482,55869.4506402226,37748.8828047971,29884.5228233924,44040.5306562129,61144.8577082723
TPT1,48252.4998246603,27204.214625544,37582.8416753865,24883.2896203235,51146.768726278,34833.3611278167,37420.7575506422,36762.0531357089,36421.4311963845,21558.0034157549,40685.1018194639,33378.3835817012,58568.4293030968,77559.5456821971,35646.4563716023,55277.9997836005,59388.931700044,39916.2020448357,41692.1084419724,51275.8259171307
TMSB4X,44041.6311406801,29850.1087254139,39938.3401145498,29184.3082479099,33355.8245493496,40802.2371145255,34760.5488528416,55818.7343211878,37677.3193508503,43213.1419819475,42429.8154594836,37346.2252735589,48545.6040035638,67725.9330773718,26507.6341740466,26771.7626483683,23503.350569726,23266.8429803763,23896.9533865169,42791.4567436551
LYZ,45045.2358604759,25672.7861244967,168251.111550988,10762.4492720766,283356.214845016,108835.927338416,727.345754786499,27827.7138636412,21314.7877435303,7724.23377525147,125984.869913162,68493.3257346505,33434.0241893654,37889.9358969247,3075.19137151844,83802.546438981,25526.9384153942,7688.50960522551,98556.2483262038,51739.1923780409
EEF2,38413.2388349144,11489.3874266637,34362.0292846556,15990.1840127444,53993.1636071195,35134.9599911476,44227.1837106349,29122.4295290921,38211.0735089321,18840.7807332394,31472.0400924379,26728.3783030448,39418.6480591178,49101.6355613511,16071.9957641225,47325.7519122508,32926.7352452849,17515.9738959586,38086.1531126743,35045.6514833105
RPL3,36189.1140850573,9420.12433455247,33903.0853282602,15284.6200425891,36126.0077234313,26601.1318397471,35852.0748907534,31127.6626432429,33888.9858420752,24095.1796747133,32152.9226312483,28353.7725348172,47577.2773737272,60878.2005126509,20971.8012406889,44268.6399173604,43550.5400422021,26987.0190522444,33879.0256991693,36950.2417871818
ACTB,33380.4430380992,44430.220323669,30019.2383999094,24665.9739999711,36715.2006440185,42645.5308828717,14058.0988070357,33490.9870465419,17306.6785224649,19826.4104706523,33329.9794673007,32788.5848708299,22046.8153366923,30501.6080813101,71990.2325544432,46933.4733629044,47737.7376255712,35160.7628628742,35622.6036076326,36822.8746743721
IGHG1,23236.0761164621,10906.8862006879,62921.0222531463,324230.850947149,95937.4341823799,302099.978064482,1348.82518903128,5807.33689364118,9929.72636250999,2223.18845428759,135138.293152205,174578.740403759,5878.46185959577,9885.58850291894,513076.25892476,3336.92899230208,7102.23175341148,174736.011970221,41772.4235289236,489116.113186679
MUC5AC,63703.9523928042,33285.4169333281,214476.171123629,98.9788877162764,31229.7359102892,16498.27724642,4031.82706541451,53617.4951349692,27669.4118667793,8458.87797113936,96737.7160287894,83279.3766757668,31844.6088084312,30318.9142350086,7317.3802817239,20917.958159942,11858.2823207297,3.50195217178781,47811.9051381244,27.0812236279777
PIGR,36147.1294161144,54870.0746330584,49705.2025532627,12290.8035200794,33228.4892861218,25469.070366495,2634.73251585743,5736.86242445272,32847.9412419966,27475.6683481292,38005.2107079381,27637.4594592554,6391.22007958055,6050.03666767765,3668.14203255506,85195.5667867808,11574.6327368241,56717.3521171321,75086.3693328963,4236.62458489672
HLA-B,18125.3567351378,34331.0370932675,43822.666200811,47951.9782687504,20826.0539821268,25581.8209013775,7010.56444464511,11524.7961336149,12917.8754212779,9443.07624676399,46510.412872483,39706.0553494193,11092.9229242045,14807.7026277476,33836.7997000637,27527.1741154186,21318.3862124569,44073.2363598682,33917.3352383718,71074.5847183565
HLA-A,14693.5850921107,27460.2042019359,34556.1766167633,33451.4499299386,20675.9830990882,22509.6077502603,7654.61002116387,13632.6551168611,11094.6551647752,15786.8703411004,39328.9125290932,32275.0026622243,12160.338268067,16019.3081843107,35149.0811791371,36854.0703617411,23524.0075126211,52206.6452149917,31791.7044152899,73421.9410860101
FTH1,30007.1090890509,23667.5287042781,18775.5181585932,23686.3781538897,23671.3589144516,22858.9741769564,36025.0803918081,31708.0487602561,42599.6869901407,21541.6644306309,24664.0635628842,20178.6620063999,29906.6776176652,37077.7870107067,35652.2187357052,31359.3272089141,20783.5515856167,25964.0623274985,23561.4069738014,36946.1306477674
ACTG1,33697.5706293838,19374.28066323,26475.9303276232,18216.4175036356,32095.7736964675,24139.0022934828,15005.0157969775,24647.1067205397,17920.2750916022,29060.5522468722,26526.4646950959,22959.9524343763,26648.2724237457,20174.7085711422,27694.8768448882,37869.0415248069,18876.5647392812,16109.3673493044,25298.1117999087,24004.0402938804
CH507-513H4.6,24036.759986678,13421.3151800994,22580.0562881448,13045.5802640036,31505.3170260396,31847.0758300833,33106.5981903157,25584.7314167723,21197.7335240876,42601.4744219283,16831.3498447805,19084.6387962526,30126.419939823,42304.1853809947,21251.9483502482,23314.5225007692,32554.0445755549,17826.0453260066,23861.2434816799,72707.5614483462
RPL10,24902.4174240906,10550.26434493,18510.0720748683,22748.6257692123,24487.8469352864,17928.2728119362,23942.6064573515,23092.2712421975,19557.1964951067,7868.56275751702,20874.1329948198,19126.521658775,33055.9157534016,42368.5717653981,19678.0991094799,25403.9590614809,27056.9767238089,23398.9212629978,20330.5056342709,27191.7822889734
MT-ND6,83356.2070647142,25847.3189416183,9609.36801112018,2480.50533822137,21945.5860004616,20960.5746011472,43373.8007668906,18499.0714949918,82493.0961218462,3270.11985609239,41698.405211368,41394.3367607447,56031.0754292462,57748.2031287593,28169.1559577793,15969.2199666411,15756.9031611111,8082.68217085872,22543.6426722719,23278.6063658035
RPLP0,25388.2459540521,12834.6589742127,22052.209364324,18040.905747733,32743.3914934001,21417.9754557422,22993.4323956819,20173.4185574009,22817.230007498,16354.6960880772,20601.7825979987,19180.3098824336,33157.7325799017,40619.5479083774,21167.8217012256,33470.4328070974,39259.7326962774,25114.3503938689,24124.9671586079,32211.7397052208
PSAP,21006.5153045872,20453.4135379757,16360.0856216389,27538.3342677068,23497.3544020692,25275.4015012261,22290.399442218,22168.3046352569,26774.8234624234,63490.2797254952,18331.0920573871,12927.3566013225,25699.3201614858,27475.4602069968,47288.262187191,12543.6867805812,11416.686339774,15349.12537452,16166.3222685001,37629.6242152269
KRT8,23296.8223273369,17010.2357586565,39438.6842281695,10987.3000960904,26164.0410442674,20700.4847324373,3440.44416183009,13000.3470890715,9116.19443530854,7918.43134445995,32444.8915228914,28826.0013153153,20638.8943633836,20112.2018550439,37774.8468319923,86110.7091099711,81583.9959029161,38702.0864348398,37478.8451781281,9816.09975003568
MT-RNR1,117423.111183595,17868.2499260931,40252.1558896086,6944.26478356549,13368.8803231844,12485.6008493102,108324.742213273,86345.2866497288,99113.8027992087,3436.91100873029,22794.1933685447,27185.0718925764,53464.4352895694,83011.1895681815,16569.5504801594,18532.7925915981,20899.9385905179,16159.0131597328,16928.2212022722,27772.6702240681
CD74,22066.1145045758,39978.8867508512,24405.022015023,39180.1963306434,30424.7836262261,38743.4460342872,5479.87105537333,16257.9344125864,20793.0599564774,3991.80117362485,41200.1484978538,42705.8272408934,7196.77562019975,11070.1450471235,33170.0021734404,9836.50254209535,8607.79850760187,17577.2802350249,16474.0155431561,28294.7742311045
RPLP1,25082.6483616698,24242.2757981605,13799.8158659463,10775.3873147655,19851.015361339,14901.8357006005,31352.7440050466,21322.4645523447,20198.5643170575,23903.3648303384,14450.068108684,14801.3166952555,21775.8878158233,31196.9325308487,12132.9289406592,20638.8655806179,25932.6706966364,16093.0403731708,16052.1236633196,23997.709085644
JCHAIN,20177.0598075548,518.054682883918,33540.7269489025,9251.97131295587,76510.6688728207,86053.371344992,1876.97632724954,2350.12789859173,29008.6819998422,24638.3646444895,59211.0341457246,25829.8129510975,15894.8465600001,20357.8584667287,20246.7938142178,15089.5780046273,28647.2224968093,17109.4097568767,115163.786152757,10790.5965705042
RPS6,21738.6478779702,5847.17322521247,20099.1161714332,10155.5557307543,19971.886292489,13944.7980705449,19021.0657189554,19746.9326517186,19936.7338305738,26518.6344153204,20543.2040251376,19543.3147785883,28559.0820299002,38208.0436230589,10570.4733889191,31752.4508687682,21476.6083161566,9468.6819260441,20324.346014977,21781.1499494
EEF1G,20013.8425567965,9534.57399993861,19548.0952584798,19727.8236453665,28161.2811048966,22109.0049677409,17624.9270130002,16524.0856063672,18476.8744774278,11340.988407851,17323.5138548422,15720.6606291817,26979.3046886086,34388.8329464592,22094.8159461002,30737.3699137504,24162.0925587576,17790.6431554117,21050.1537462338,23045.8165592615
FTL,19236.184555145,39762.6281825444,12443.7399142749,25713.482291053,28020.7775994789,35613.3534622399,20121.237188301,20362.021566484,16003.0773048699,10834.8403154879,14616.0323971048,12720.9356421554,27521.4539668828,37687.2248028726,44396.8144060492,17582.3653809769,15589.3057126755,16366.2486645433,19555.5933536987,69361.1382838553
RPS2,24184.1398992186,12406.0280776513,20170.4131827717,13938.6441481768,26313.4263176891,17708.2551688817,16669.284047815,18081.3007552339,17709.9740577488,21725.35948809,19961.7766632748,19645.8558600568,17355.6098559779,23344.9396265803,15229.5278037281,34063.0180052199,21673.6646631444,16941.7032486049,23180.7613804625,33278.3290195592
RPS9,15640.5631340292,7005.34054759795,14929.657687075,10942.5244387596,27649.615819023,19793.7122978616,23241.7938111874,21797.268217832,20650.8524600566,23543.7304840461,19663.0338514508,17919.7792693809,20447.6260447037,26404.2944081174,11658.0819062709,22724.108970526,16134.2507404595,11972.906014697,17245.2158668701,21355.6028605873
RPL8,21279.6453595831,10954.6032023818,17326.7589510282,13491.2345218181,25218.9400135103,15376.1875600774,19326.5084839496,20367.3850821702,21006.2667293838,6496.76033392682,18700.6582836141,19098.785822033,25197.0166742665,36303.1141075368,22036.7886481851,31414.8601405385,33440.6623275984,18469.3619990826,19020.687710022,20040.0855335313
RPL13,24894.0857385304,8562.79002543077,19292.9651325681,18448.6784607732,22015.710400793,15527.0868778691,19935.4439629453,19059.2025999087,14986.241469908,24024.0191164249,17940.1554021646,16815.3269193804,21158.9744080779,29772.2694961801,15258.6860635762,29808.5863098629,24517.9163984518,18750.7025680957,22286.4225433791,29793.3487151766
AGR2,25102.9099930047,37615.0463695232,36414.5162155366,2074.59894310395,26877.5989957466,14235.4603090702,7540.38024037654,22462.9843837902,17347.1740817627,2791.10949574704,28958.7564045821,24177.2847214786,17490.8519907611,19358.5394100367,13874.0051408055,43582.5917512139,19134.2381767221,4638.58781484705,20908.5679570253,14482.3969221966
RPS3,16491.9957692059,7430.46274951251,21328.5526380925,14425.7299180071,128470.513906066,81955.5203232245,15357.0198953973,17303.5086129524,16991.7980879041,15038.8510192692,19804.583030113,20362.667392457,22511.7256409005,32520.2871318686,16051.874871228,28383.1664098926,26314.8988220483,18465.3646795591,18423.8181788829,21620.7573636749
IGLC2,12566.6214325396,1231.59596819355,20399.6049969297,32979.7247856992,47700.9465365682,74896.3130690898,844.726116040116,1230.89473335789,19950.214942716,2100.31458879105,33406.6953581651,30252.0345094844,9466.06566389842,17437.9585111162,62409.3215987102,6321.21042303648,14462.1855528125,16328.1494866607,60250.4166857693,43471.9186603442
RPL7A,18124.3886133202,8491.94550495006,15352.2705471588,10842.490472836,30966.9751153272,20133.8489249743,17393.3947165685,15950.7548461882,16289.6372524346,18863.2943971668,16068.7023668296,14900.2808450077,21230.40461945,27957.915200795,14713.1590303476,20904.6957368259,32993.879130995,22091.910244133,16065.2687689589,23769.614005185
CTSE,18775.6082907004,3133.55038053029,58675.3587331649,1240.98392918823,66221.326681547,35564.6482019569,4997.13347557038,16609.0231683685,16028.4372739321,4688.29254245639,39320.0897536085,24063.4238206438,21831.3500633774,25354.0474055519,1000.65343063359,26145.116068977,4486.39854831416,5.21287141535499,19535.7367370526,262.498674559275
PTMA,21874.3615488508,23512.0429028421,17239.7828712528,16036.8045308485,17662.1290822967,15401.6794473972,13916.5702856453,16623.9126050453,15447.4945783777,29516.9706370085,17976.9068908334,17380.9852447659,14168.3679703607,17560.963515925,34899.6774022102,23587.6012907842,28493.8708568506,32209.6366422631,15082.2057308804,22631.0282546057
RPS4X,10013.6000735585,3976.25964194988,17439.2407821058,14376.5120123782,26337.1914954658,17008.8510969877,21688.4883555626,22375.3398588971,15726.568258889,3063.86778987181,23543.2910247809,21982.5626174623,16205.4164299775,19576.0570870593,11812.7866248578,20036.8833799117,26339.6734169299,17997.899603297,12959.5704735707,16189.0364690431
TFF1,16596.3253411007,85.8677110190545,68781.2415544462,773.621883504296,18715.3716940047,19410.5249932036,96.8143152545252,20127.7063180984,7705.5214572788,3787.56001661335,50213.9223172135,37515.8439410661,25073.5647792732,55481.9062123524,79.7925372942312,17536.7621701715,6636.04392072957,6.58026452018002,23768.1313873672,125.949062087985
RPS11,16974.989666697,8928.49043046355,13618.5289192166,11420.4992625808,23001.2510914885,18880.0676371694,20468.3365175668,16642.3062189162,17126.1369667306,1179.35319857061,17659.0531118126,16550.0529504657,23036.2180226747,33010.0665368356,17511.8000953904,20242.6131213673,15359.2988594913,11766.0429857233,15776.221645388,22753.6345052889
RPL7,16090.0427229701,5975.91880080116,13399.0058225755,13313.8982458157,34622.5426331365,18254.558406238,26915.8690599801,15238.569578863,24291.4016369728,9944.77617050734,20611.857467,16193.6660755769,26259.4242414156,31272.2819436971,11749.8911806618,22806.2402543646,19212.5143833766,10799.8785022408,16113.6978464975,17903.3161004306
GAPDH,17179.1775745045,18729.6795210888,16192.031020759,16006.9667957749,27471.3651952597,26999.7987631273,8713.2327045469,11494.3868526699,15550.4108079363,2710.02858726642,15681.1700588597,16635.0991393647,12392.0396020565,15332.888358424,40233.057535419,31571.7634807252,30903.7034141461,30185.2682084395,22094.0020705458,21894.6603211598
PGA4,926023.588112945,0.0,38589.3730603298,0.0,172.391098765276,5.91283383341598,6649786.64694654,2143055.28366312,2740223.69283915,2557701.12756778,86510.5082451322,30656.4557184167,4515538.56260716,5216638.00783505,1321.77235180742,3154.54313777207,0.288307441338461,7.38593088202112,216.505459318431,0.0
RPS18,19011.3623685232,10288.0455660551,15286.1825930951,12691.7032329125,21632.4094958416,15123.4901153267,15421.5629648578,17820.8134953754,14979.8285286711,3526.79795243336,17041.5797161605,16710.9708745063,20671.2206614729,28470.6308517263,18169.7070085108,23726.12917068,23459.465115299,16311.6221442214,16638.5180355187,23088.2880700663
RPL4,20600.6806560573,10623.416500254,15061.6757625551,9571.08218351001,18762.4128788382,14913.5462313022,17481.5237816132,17157.4219465066,17417.3169440481,11653.9778760645,15122.1024283989,15214.4494844566,20107.9691099528,26139.5713979272,13374.3680110345,19541.8929902023,19458.6265518169,13783.8288441037,14769.4805859274,21018.288986238
CLDN18,26071.0076635053,659.389421494536,38271.716172233,741.217073721383,22716.2962641227,11509.0594544973,15177.2941901503,17532.3705538037,22424.9564780184,17191.5286521398,28186.1370046201,19226.9565386638,33142.2979785443,27795.8273471893,176.4509954429,10491.7821039797,2265.79465295637,4.46265240759428,9784.98904745768,3350.74709619731
RPL41,23458.2883106982,15074.2295937003,13718.3306431909,11684.4272109718,19453.0067178762,14686.0389604544,16649.5418707889,16278.087162649,15636.4172499708,11325.5990037812,17012.226491596,15296.1236741569,24764.9488777688,36500.7544836969,15505.0322757035,25337.1074449316,22532.0190617485,15385.2775485915,15366.4396848712,23267.3288273224
P4HB,15480.0194640401,10671.9953806696,23529.3082633842,11605.557246079,19541.6266656321,20246.2186069891,17519.3480616452,12444.2028255393,13982.2512980646,14339.8649534522,16025.8837791849,13861.895861039,18667.6424829376,19824.9800719066,18258.5931599935,28448.6827398634,13215.3277298111,11750.5470874511,20980.249573761,13427.0234932764
RPL6,18592.7747848816,7368.02493427617,10815.0113971372,11212.0452771367,22479.7944047144,15315.1791992304,18510.1867825319,15927.2615915424,16912.2578335135,4907.99587617951,14318.7185958122,13537.9077540574,21575.920592293,28100.3579888512,15530.5653607198,18000.1875615069,16858.3313206707,13397.9714820294,14250.0136067777,19693.8424740471
CD24,25649.0632301784,4220.10840049913,18130.7576399488,2146.75624623567,25472.9859963508,24403.3058347271,20752.9004121712,16002.8548239828,28147.3969277877,11213.477850197,15440.1625567504,11339.0813149896,22191.0119402146,16219.5563665792,7392.31796185058,30832.4416994164,14095.4045667728,9745.50737994474,9007.62081878491,9955.74288012278
NEAT1,6905.49317908237,6477.28207671799,22440.8518886918,21221.4899901771,7778.21851799295,9059.28867609429,23125.1080136993,16753.2549272285,24282.8791234088,33307.9773967312,14455.6119537731,23739.7030918729,22724.5025180224,20547.0203916512,3811.62043803235,9733.43266330853,9327.5528227296,17924.4698179697,14549.4241791478,4717.79487914647
RPL15,18773.3219850464,13609.8463521101,13919.3031681329,12628.6533333669,16205.9329691129,12175.4462453856,16241.6591502489,16278.352318252,16075.4400486392,14864.2848580478,14132.0124058198,12549.7158779578,15334.8451868206,18280.0912983629,14038.6666625048,18528.1278839496,16013.8073078615,12051.7200557524,13584.4049409988,20530.561262675
UBC,16500.5444500008,17577.2209635849,10482.5130515623,13359.7471600362,20796.4713750333,15954.1262936916,12496.7441051882,12491.7665727684,14662.7676398924,6970.72867991955,19240.8386936773,16272.7623963277,29163.75802517,28124.9063456767,19082.164550907,13954.9674523548,14705.2744680175,14633.8101089944,13348.4641502215,15260.2662607396
RPL31,10446.0767338629,4061.36201351985,10757.9923681679,8968.11975567341,24235.7515022905,14917.411735353,15823.5588541016,15649.3186617788,15572.1511236024,766.443281030972,16589.4723965501,14600.5326747145,15402.512647734,21601.1877861154,14346.77917089,14773.5646188319,14869.9650992957,9990.95398212361,11019.7612837969,14057.7793354279
TFF2,18933.1236467423,70.9848078596565,68457.0382727001,441.851579536736,15935.0278241945,27225.327136204,1149.16905490138,43822.820037332,18509.7155998457,13250.0258843165,35133.0504024484,28784.9913781614,43616.4419958398,94279.5705824091,27.9124208666132,2917.63646636209,2170.75352609947,0.973747801750174,12609.8416724734,1322.74305051636
AHNAK,17371.2487602861,8176.2119306225,36702.1545786001,19514.875872123,12557.7277429216,11149.6057738336,12614.2433891485,19409.2966785592,14408.933332288,13877.9410435177,27959.1563817129,20898.5863548337,15061.1574767763,13362.8038202269,10886.9344753505,29248.8009685673,14244.3454580238,5858.98537457489,22809.7290058909,7656.0153626525
TMBIM6,13205.7458258734,16133.6779302041,17133.9657040259,8017.43009838709,17700.2829210111,15027.9054170098,17784.6902354654,13205.6063018246,19531.5853650572,13379.4058819998,16316.6895973513,11525.0930398214,17710.0905721944,17120.2947653507,13615.022586523,15708.5660133812,13160.9500953738,10551.0702806048,11080.4972563441,11270.4222199038
HLA-C,14854.4707462767,24382.1867931263,24160.0822479707,27227.1376577952,8543.31334997862,10096.4702958989,6514.35367803398,7974.3907710886,10374.4998731411,9016.95790892237,17171.582552485,14384.6932696179,4473.05242332617,5661.76968873104,11023.0207617172,19576.6080778048,14189.7214014737,25429.227434874,15435.5051497403,24399.1335722734
HSP90AB1,15328.0777929145,17370.7291427115,11335.259479967,15442.5718689312,14756.5223698587,14607.0736768102,12156.9451057065,9233.3602492303,12576.5218766811,14932.2688903999,11140.3849406183,8800.56589815917,13773.7326562193,14074.6224223692,19377.7883181515,13754.5312856232,17538.4660797075,14258.8618844805,7147.15864888715,8234.67401810117
HNRNPA1,12763.3458330033,9925.48465646443,13743.1201770656,11806.104666833,20649.5574836595,16691.4691208846,10909.641571611,13772.927713335,12489.6171513216,12941.607029655,16056.1600353936,15752.5175101218,13157.1041856339,13947.058092101,12429.7904204339,16889.4212877141,15936.6074408892,14971.0782694093,11311.5849390341,14338.993909458
RPL18A,16274.5333060857,5763.52300015598,14306.102564999,10531.7273630276,22032.1254874615,14005.2675634571,12427.6122872472,12330.1550932706,12302.5489344468,1251.36226440946,12166.6832640644,11594.3188929928,11680.0150086269,16450.9394308611,14116.4756382476,22556.8155200309,13324.5008726243,20616.7827583164,15452.4851463122,18293.9708056314
UBB,14121.2929608193,10065.0253781679,12778.3970127409,5927.97564934418,16447.5508477155,12462.705997937,17071.3315010654,13059.7183460954,18024.8373954045,16496.8902815412,15247.8039651582,11910.4245833999,24521.224932679,30313.577351295,12440.4290572598,15972.2485758901,11400.4301617519,12602.0541964431,12791.4706373857,15444.5102718643
RPS8,17584.185396843,7845.68289083652,13059.2955512186,10871.0570919552,14169.795588449,10492.2035859594,11878.7091230267,13765.9799722785,12128.5272900494,2141.96968447542,13343.7567300937,12905.7090190693,16487.3067241092,23732.6261049133,13890.7058684156,21513.0665563311,15227.5970033204,11586.0576022605,14819.5209562212,19136.7490356111
GLUL,32887.9581182321,9893.76879154735,23734.3113159107,12752.1087453535,11253.9092636444,11934.1101336216,59737.1682684816,32688.1178098006,58186.4557542398,28502.1266577357,23896.6130669505,14312.924513635,48917.2517876799,35835.0420333521,11378.528586324,5671.05561159724,3664.91309042393,3755.59977438784,4194.58312058285,8625.4739728016
RPS3A,18910.2819272497,9759.51342122856,12151.5785229769,7973.5959433878,15027.7020375565,11703.0797012685,14934.919623538,15011.6334329737,12303.3888642162,21382.7367413111,13199.3456735383,11357.2855406287,21113.3569638477,29611.2441029453,10943.8472861133,20535.278005604,13451.2078808383,10491.1758195683,13338.4647854572,20841.2430059384
RPS27,14451.8529794498,15298.980085391,10415.7516524498,11469.2854960743,18060.8249577711,13589.6477693227,12201.3945130075,13162.0515982361,10810.3963768234,273.118348274206,13640.2492050894,12868.8458745266,18045.9333669189,29753.768974454,11034.2968788382,14648.2858649429,15866.2021365607,8406.79598566664,11315.7258806455,17917.4831267908
MT-ND4L,26643.3349557678,4673.09492354911,20566.0124044677,8045.64123583165,14088.4783266497,10140.3651389896,69359.2698948317,44426.5025984317,45468.3657398012,927.041267521296,19533.2785359297,31874.9938319467,21443.6056395778,12447.0704190118,10336.2684926916,18844.0558489801,11995.2402394184,10979.3464125853,8289.22510907469,8498.45334371612
