cluster	compartment_sheet	author_cluster	our_non_nuisance_top50_genes	author_non_nuisance_top50_genes	overlap_count	overlap_genes	jaccard	detailed_annotation	broad_annotation	expected_author_sheet	expected_sheet_match	overlap_rank_all	overlap_rank_expected_sheet
9	Myeloid cell markers	FOLR2+Mac	50	50	10	HLA-DRA;CD74;HLA-DQB1;CD14;HLA-DQA1;MS4A6A;C1QA;C1QB;MS4A7;MAFB	0.111111111111111	Myeloid	Myeloid	Myeloid cell markers	TRUE	1	1
9	Myeloid cell markers	SPP1+Mac	50	50	6	FTL;CTSB;CD68;C1QA;ITGB2;C1QB	0.0638297872340426	Myeloid	Myeloid	Myeloid cell markers	TRUE	2	2
9	Myeloid cell markers	CD1C+cDC	50	40	5	HLA-DPA1;CST3;HLA-DRB1;HLA-DPB1;HLA-DQB1	0.0588235294117647	Myeloid	Myeloid	Myeloid cell markers	TRUE	3	3
10	T_I_NK cell markers	CD4+Texh	25	50	6	IL32;SRGN;S100A4;BTG1;EIF1;LTB	0.0869565217391304	T_cell	T/NK	T_I_NK cell markers	TRUE	1	1
10	T_I_NK cell markers	CD4+Th1-like	25	50	6	TRAC;CD3D;SRGN;S100A4;CD2;ACTB	0.0869565217391304	T_cell	T/NK	T_I_NK cell markers	TRUE	2	2
10	T_I_NK cell markers	CD8+MAIT	25	50	5	TRAC;CD3D;CD2;ACTB;CD3E	0.0714285714285714	T_cell	T/NK	T_I_NK cell markers	TRUE	3	3
11	B cell markers	pB IgG	50	50	30	SSR4;IGKC;MZB1;XBP1;HERPUD1;DERL3;IGLC2;HSP90B1;IGHG1;FKBP11;BTG2;SEC11C;TENT5C;IGHG4;IGLC3;SSR3;PRDX4;PIM2;SPCS2;SPCS3;PDK1;SELENOK;FKBP2;SEC61B;SELENOS;PRDM1;LMAN1;TP53INP1;SEL1L;IGHG2	0.428571428571429	Plasma_cell	Plasma	B cell markers	TRUE	1	1
11	B cell markers	pB IgA	50	50	27	JCHAIN;SSR4;IGKC;MZB1;IGHA1;XBP1;HERPUD1;DERL3;IGHA2;IGLC2;HSP90B1;TNFRSF17;FKBP11;BTG2;SEC11C;TENT5C;SPCS1;IGLC3;SSR3;PDK1;SELENOK;FKBP2;SEC61B;SELENOS;PRDM1;MANF;HIST1H2BG	0.36986301369863	Plasma_cell	Plasma	B cell markers	TRUE	2	2
11	B cell markers	pB prolif	50	50	17	IGKC;MZB1;XBP1;DERL3;HSP90B1;FKBP11;SEC11C;IGHG4;SSR3;PRDX4;SPCS2;SPCS3;SEC61B;SELENOS;SUB1;LMAN1;MANF	0.204819277108434	Plasma_cell	Plasma	B cell markers	TRUE	3	3
12	B cell markers	Bfoc	32	50	0		0	Erythroid_mito_enriched	Erythroid		FALSE	1	
12	B cell markers	Bgc	32	50	0		0	Erythroid_mito_enriched	Erythroid		FALSE	2	
12	B cell markers	Bmem	32	21	0		0	Erythroid_mito_enriched	Erythroid		FALSE	3	
13	Endothelial cell markers	HLA-DRA+EC	48	30	1	MT2A	0.012987012987013	BEST4_OTOP2_epithelial	Epithelial		FALSE	1	
13	Myeloid cell markers	CCL19+mDC	48	48	1	AOC1	0.0105263157894737	BEST4_OTOP2_epithelial	Epithelial		FALSE	2	
13	Myeloid cell markers	CALHM6+Mac	48	49	1	MT2A	0.0104166666666667	BEST4_OTOP2_epithelial	Epithelial		FALSE	3	
14	B cell markers	Bfoc	50	50	2	GMDS;SMIM14	0.0204081632653061	Goblet	Epithelial		FALSE	1	
14	B cell markers	pB IgA	50	50	2	XBP1;RRBP1	0.0204081632653061	Goblet	Epithelial		FALSE	2	
14	B cell markers	pB IgG	50	50	2	XBP1;RRBP1	0.0204081632653061	Goblet	Epithelial		FALSE	3	
15	T_I_NK cell markers	CD4+Tn	39	16	1	PLAC8	0.0185185185185185	Colonocyte_mito_enriched	Epithelial		FALSE	1	
15	B cell markers	Bmem	39	21	1	CD24	0.0169491525423729	Colonocyte_mito_enriched	Epithelial		FALSE	2	
15	Myeloid cell markers	CD1C+cDC	39	40	1	PLAC8	0.0128205128205128	Colonocyte_mito_enriched	Epithelial		FALSE	3	
16	Fibroblast markers	CXCL12+Fibro	50	50	10	DCN;FBLN1;TIMP2;CCDC80;FSTL1;GSN;LTBP4;MGP;CST3;FBN1	0.111111111111111	Fibroblast	Fibroblast/SMC	Fibroblast markers	TRUE	1	1
16	Fibroblast markers	CCL2+Fibro	50	50	9	COL1A2;COL1A1;COL3A1;COL6A1;COL6A3;TIMP1;VCAN;COL5A2;COL12A1	0.0989010989010989	Fibroblast	Fibroblast/SMC	Fibroblast markers	TRUE	2	2
16	Fibroblast markers	Myofibroblast	50	50	1	IGFBP7	0.0101010101010101	Fibroblast	Fibroblast/SMC	Fibroblast markers	TRUE	3	3
17	Fibroblast markers	Myofibroblast	50	50	26	ACTA2;MYL9;TAGLN;TPM2;C11orf96;IGFBP7;MCAM;MYH11;DSTN;CARMN;FLNA;CAV1;SPARCL1;ADIRF;NOTCH3;MYLK;TSC22D1;NR2F2;CSRP2;PLN;CAV2;PPP1R14A;CSRP1;TINAGL1;CRIP2;FRZB	0.351351351351351	Pericyte_smooth_muscle	Fibroblast/SMC	Fibroblast markers	TRUE	1	1
17	Fibroblast markers	CXCL12+Fibro	50	50	1	MGP	0.0101010101010101	Pericyte_smooth_muscle	Fibroblast/SMC	Fibroblast markers	TRUE	2	2
17	Fibroblast markers	CCL2+Fibro	50	50	0		0	Pericyte_smooth_muscle	Fibroblast/SMC	Fibroblast markers	TRUE	3	3
18	B cell markers	Bfoc	42	50	19	ACTB;ACTG1;HMGN2;GAPDH;PFN1;CORO1A;HMGN1;H3F3A;STMN1;ARPC2;CFL1;SERF2;ANP32B;ATP5MG;LCP1;LIMD2;SLC25A5;ACTR3;BASP1	0.26027397260274	Cycling_immune	Immune unresolved		FALSE	1	
18	T_I_NK cell markers	CD4+Prolif.	42	50	10	HMGB1;HMGN2;GAPDH;STMN1;H2AFZ;HMGB2;RAN;TUBB;TUBA1B;H2AFV	0.121951219512195	Cycling_immune	Immune unresolved		FALSE	2	
18	Myeloid cell markers	MKI67+Mac	42	50	9	HMGB1;HMGN2;PTMA;STMN1;H2AFZ;HMGB2;RAN;TUBB;TUBA1B	0.108433734939759	Cycling_immune	Immune unresolved		FALSE	3	
19	T_I_NK cell markers	CD4+Prolif.	39	50	5	CENPF;MKI67;ASPM;TOP2A;CENPE	0.0595238095238095	Cycling_epithelial_mito_enriched	Epithelial		FALSE	1	
19	T_I_NK cell markers	CD8+Trm-mitotic	39	50	5	CENPF;MKI67;ASPM;TOP2A;HELLS	0.0595238095238095	Cycling_epithelial_mito_enriched	Epithelial		FALSE	2	
19	Myeloid cell markers	MKI67+Mac	39	50	3	CENPF;MKI67;TOP2A	0.0348837209302326	Cycling_epithelial_mito_enriched	Epithelial		FALSE	3	
20	Myeloid cell markers	CCL19+mDC	48	48	2	MARCKSL1;AOC1	0.0212765957446809	Tuft_epithelial	Epithelial		FALSE	1	
20	Myeloid cell markers	CALHM6+Mac	48	49	2	ALOX5AP;IFI6	0.0210526315789474	Tuft_epithelial	Epithelial		FALSE	2	
20	B cell markers	Bfoc	48	50	2	LRMP;MARCKSL1	0.0208333333333333	Tuft_epithelial	Epithelial		FALSE	3	
21	T_I_NK cell markers	CD8+Tem	37	49	6	IGKC;IGLC2;PYHIN1;IGHG1;MIAT;KLRG1	0.075	Immune_mito_enriched	Immune unresolved		FALSE	1	
21	B cell markers	pB IgG	37	50	5	IGKC;IGLC2;IGHG1;IGHG2;IGHG4	0.0609756097560976	Immune_mito_enriched	Immune unresolved		FALSE	2	
21	T_I_NK cell markers	CD4+Th	37	21	2	FYB1;IL7R	0.0357142857142857	Immune_mito_enriched	Immune unresolved		FALSE	3	
22	Endothelial cell markers	LYVE1+LEC	50	50	18	TFPI;CCL21;MMRN1;AKAP12;CAVIN2;CLDN5;TIMP3;PPFIBP1;LYVE1;TFF3;PROX1;EFEMP1;TBX1;NR2F1;PTPRE;FABP4;CD9;TNXB	0.219512195121951	Lymphatic_endothelial	Endothelial	Endothelial cell markers	TRUE	1	1
22	Endothelial cell markers	MADCAM1+HEV	50	50	5	CLDN5;CLU;ITM2B;NR2F2;ADIRF	0.0526315789473684	Lymphatic_endothelial	Endothelial	Endothelial cell markers	TRUE	2	2
22	Endothelial cell markers	SYNE2+EC	50	40	2	TSHZ2;WSB1	0.0227272727272727	Lymphatic_endothelial	Endothelial	Endothelial cell markers	TRUE	3	3
23	T_I_NK cell markers	CD4+Th1-like	41	50	5	SLA;CTLA4;RORA;SH2D2A;SPOCK2	0.0581395348837209	Immune_mixed_mito_enriched	Immune unresolved		FALSE	1	
23	T_I_NK cell markers	CD4+Treg	41	50	5	CTLA4;FOXP3;SH2D2A;SPOCK2;IL2RA	0.0581395348837209	Immune_mixed_mito_enriched	Immune unresolved		FALSE	2	
23	T_I_NK cell markers	γδ T	41	49	3	IL2RB;EVL;RUNX3	0.0344827586206897	Immune_mixed_mito_enriched	Immune unresolved		FALSE	3	
24	Fibroblast markers	CXCL12+Fibro	40	50	9	MGP;DCN;CCDC80;PLAC9;CFD;ADH1B;GPX3;IGFBP6;MFAP5	0.111111111111111	Fibroblast_mito_enriched	Fibroblast/SMC	Fibroblast markers	TRUE	1	1
24	Fibroblast markers	CCL2+Fibro	40	50	8	COL1A1;COL1A2;COL3A1;COL6A3;COL6A1;COL5A1;COL5A2;PTGDS	0.0975609756097561	Fibroblast_mito_enriched	Fibroblast/SMC	Fibroblast markers	TRUE	2	2
24	Fibroblast markers	Myofibroblast	40	50	8	CARMN;TPM2;TAGLN;MYL9;C11orf96;ACTA2;IGFBP7;MYH11	0.0975609756097561	Fibroblast_mito_enriched	Fibroblast/SMC	Fibroblast markers	TRUE	3	3
25	Myeloid cell markers	FOLR2+Mac	50	50	16	HLA-DRA;CD74;HLA-DQA1;C1QA;C1QB;APOE;HLA-DQB1;C1QC;CD14;MS4A6A;HLA-DQA2;HLA-DMA;ITM2B;FCGR3A;APOC1;MAFB	0.19047619047619	Myeloid_IG_enriched	Myeloid	Myeloid cell markers	TRUE	1	1
25	Myeloid cell markers	SPP1+Mac	50	50	8	FTL;C1QA;C1QB;APOE;C1QC;CTSB;SPP1;APOC1	0.0869565217391304	Myeloid_IG_enriched	Myeloid	Myeloid cell markers	TRUE	2	2
25	Myeloid cell markers	CD1C+cDC	50	40	5	HLA-DPA1;HLA-DRB1;HLA-DPB1;CST3;HLA-DQB1	0.0588235294117647	Myeloid_IG_enriched	Myeloid	Myeloid cell markers	TRUE	3	3
26	Myeloid cell markers	IL1B+Mono	41	50	2	C15orf48;SLC25A37	0.0224719101123596	Epithelial	Epithelial		FALSE	1	
26	B cell markers	Bmem	41	21	1	CD24	0.0163934426229508	Epithelial	Epithelial		FALSE	2	
26	Fibroblast markers	CXCL12+Fibro	41	50	1	MGST1	0.0111111111111111	Epithelial	Epithelial		FALSE	3	
27	B cell markers	Bfoc	36	50	0		0	Unresolved_mito_enriched	Unresolved		FALSE	1	
27	B cell markers	Bgc	36	50	0		0	Unresolved_mito_enriched	Unresolved		FALSE	2	
27	B cell markers	Bmem	36	21	0		0	Unresolved_mito_enriched	Unresolved		FALSE	3	
